"current_id","original_id"
1,1
2,3
3,95
4,1580
5,1926
6,1500
7,2053
8,2100
9,59
10,380
11,1146
12,1637
13,854
14,858
15,488
16,865
17,744
18,662
19,2368
20,1768
21,276
22,1319
23,283
24,1143
25,2040
26,2677
27,2606
28,516
29,1187
30,1257
31,698
32,609
33,107
34,763
35,2633
36,2010
37,337
38,970
39,567
40,2757
41,1111
42,1583
43,1426
44,578
45,1041
46,245
47,902
48,939
49,433
50,894
51,1622
52,533
53,2699
54,2166
55,1224
56,2374
57,249
58,2241
59,545
60,1058
61,1213
62,2004
63,381
64,1520
65,313
66,751
67,852
68,3096
69,1941
70,2812
71,1959
72,790
73,2220
74,805
75,468
76,1983
77,155
78,1029
79,3445
80,1753
81,3093
82,3554
83,63
84,1033
85,859
86,880
87,3549
88,3158
89,3565
90,2261
91,2963
92,477
93,1667
94,3402
95,2015
96,2142
97,240
98,3748
99,3621
100,3353
101,1450
102,3881
103,1297
104,1106
105,1209
106,3705
107,912
108,4005
109,3747
110,832
111,4060
112,554
113,710
114,4111
115,2110
116,208
117,361
118,2400
119,666
120,714
121,4024
122,3616
123,2779
124,3536
125,274
126,52
127,2213
128,3684
129,4303
130,4297
131,1559
132,4113
133,1623
134,617
135,1052
136,2926
137,600
138,3948
139,731
140,4343
141,611
142,4431
143,1808
144,679
145,113
146,1059
147,3771
148,2074
149,2727
150,1204
151,1453
152,1063
153,394
154,207
155,3886
156,4543
157,849
158,3043
159,4388
160,3680
161,4011
162,3257
163,4685
164,4667
165,3876
166,4631
167,3558
168,353
169,2920
170,254
171,3997
172,1556
173,481
174,4735
175,3387
176,943
177,4727
178,1100
179,4351
180,2046
181,255
182,3766
183,2874
184,3173
185,4862
186,582
187,1451
188,344
189,485
190,4250
191,442
192,4658
193,3610
