"from_id","to_id"
1,21
1,4
1,8
1,12
1,10
1,11
3,359
3,362
95,1463
95,50
1580,1290
1580,1392
1580,2041
1580,1060
1580,306
1580,1296
1580,1159
1580,808
1580,723
1580,54
1926,160
1500,2058
1500,2061
2053,2109
2053,2119
2053,487
2053,2127
2053,483
2100,1153
2100,635
59,991
59,687
380,50
380,1498
380,1103
380,2267
1146,2271
1637,160
1637,718
1637,357
1637,1518
1637,1221
1637,1713
1637,2314
1637,75
854,795
854,1772
858,2362
488,359
488,1738
488,2458
488,571
488,2457
488,585
488,2362
488,635
488,355
488,704
488,669
488,188
865,659
865,2488
865,1392
865,2496
744,169
662,2596
662,571
662,2601
2368,729
2368,861
2368,1713
2368,1759
2368,359
2368,480
2368,8
2368,2401
2368,546
2368,2288
1768,2496
276,1567
276,1651
276,861
1319,635
1319,175
283,2668
283,663
1143,2680
1143,857
1143,795
1143,787
1143,732
1143,623
2040,1738
2040,1368
2677,169
2677,1392
2606,1392
2606,500
2606,46
2606,2119
2606,723
2606,2713
516,154
1187,169
1187,1999
1187,928
1187,623
1257,1927
1257,675
1257,669
1257,2133
1257,1853
698,160
698,75
698,1961
698,1154
609,1150
609,1494
107,1962
107,808
107,2486
107,72
107,2819
107,723
107,359
107,1371
763,188
763,169
763,795
763,2288
763,1853
2633,2457
2633,2871
2633,53
2010,546
2010,11
337,2139
337,2488
970,1896
567,306
567,1681
567,1927
567,2458
567,2921
2757,1673
2757,2939
2757,1198
2757,1031
2757,2938
1111,795
1111,31
1583,1940
1583,874
1583,888
1583,11
1426,72
1426,1499
1426,1653
1426,808
1426,2596
1426,117
1426,1649
1426,2979
1426,636
1426,362
1426,862
1426,355
578,1498
578,1103
578,2984
578,546
1041,704
1041,863
1041,188
245,571
245,1713
245,306
245,154
245,808
245,1103
245,2181
245,188
245,160
902,614
902,1103
902,1927
902,50
939,3089
433,511
433,928
433,1198
894,1896
894,1759
894,1567
894,188
894,3149
1622,853
1622,2041
1622,1125
1622,3167
533,169
2699,2097
2699,1853
2699,3187
2699,669
2699,2680
2699,2011
2699,787
2699,1136
2166,54
2166,3202
2166,888
2166,795
2166,559
1224,10
1224,154
2374,1553
249,188
2241,614
2241,1198
2241,154
2241,928
545,546
545,704
545,3261
545,2362
545,1849
545,306
545,21
545,1713
545,795
545,1252
1058,3116
1058,3278
1058,687
1058,1225
1213,48
2004,2458
2004,2471
2004,435
2004,1896
2004,188
381,795
381,350
381,1198
381,928
381,1655
1520,3328
313,1153
751,625
852,2680
852,1047
3096,50
3096,1165
3096,872
1941,1159
1941,881
1941,652
1941,1896
1941,645
1941,1961
1941,528
2812,2458
2812,1940
2812,3437
1959,487
1959,2601
1959,2127
1959,3447
790,795
790,3455
2220,2458
805,704
805,3477
805,1159
805,571
805,2139
468,1031
468,31
468,723
1983,664
155,1738
1029,846
1029,246
1029,188
1029,2401
1029,1154
3445,3025
1753,3025
1753,8
1753,3551
1753,3548
3093,3078
3554,645
3554,359
3554,874
63,1859
63,74
63,359
1033,1150
1033,3477
1033,1653
1033,2567
859,625
880,1567
880,795
3549,162
3549,1154
3549,8
3549,21
3549,2680
3158,660
3158,356
3158,2488
3565,3681
3565,1999
3565,625
3565,3020
3565,2458
3565,635
2261,571
2963,306
2963,3167
2963,2921
2963,188
2963,669
477,808
477,2109
477,1743
477,2008
1667,188
3402,925
3402,933
3402,2132
2015,1088
2015,808
2142,3078
2142,2271
2142,1198
240,3803
240,3537
240,985
3748,2601
3748,3674
3748,3831
3748,3836
3621,1368
3621,675
3353,1498
3353,50
1450,795
3881,1940
3881,723
1297,1944
1106,188
1106,1518
1106,1738
1209,1944
1209,645
1209,72
1209,2067
1209,8
3705,10
912,4030
4005,635
4005,31
4005,1954
3747,1644
3747,1031
3747,652
3747,3752
3747,500
832,1567
832,1713
4060,4030
554,4
554,4030
554,663
554,645
554,175
554,188
554,808
710,3116
710,11
710,2496
4111,188
4111,2488
4111,58
2110,73
2110,50
2110,3615
2110,3743
2110,2134
2110,645
208,48
208,625
208,50
361,2668
361,83
361,4183
361,359
2400,3743
2400,500
2400,730
