"current_id","original_id"
1,21
2,4
3,8
4,12
5,10
6,11
7,359
8,362
9,1463
10,50
11,1290
12,1392
13,2041
14,1060
15,306
16,1296
17,1159
18,808
19,723
20,54
21,160
22,2058
23,2061
24,2109
25,2119
26,487
27,2127
28,483
29,1153
30,635
31,991
32,687
33,1498
34,1103
35,2267
36,2271
37,718
38,357
39,1518
40,1221
41,1713
42,2314
43,75
44,795
45,1772
46,2362
47,1738
48,2458
49,571
50,2457
51,585
52,355
53,704
54,669
55,188
56,659
57,2488
58,2496
59,169
60,2596
61,2601
62,729
63,861
64,1759
65,480
66,2401
67,546
68,2288
69,1567
70,1651
71,175
72,2668
73,663
74,2680
75,857
76,787
77,732
78,623
79,1368
80,500
81,46
82,2713
83,154
84,1999
85,928
86,1927
87,675
88,2133
89,1853
90,1961
91,1154
92,1150
93,1494
94,1962
95,2486
96,72
97,2819
98,1371
99,2871
100,53
101,2139
102,1896
103,1681
104,2921
105,1673
106,2939
107,1198
108,1031
109,2938
110,31
111,1940
112,874
113,888
114,1499
115,1653
116,117
117,1649
118,2979
119,636
120,862
121,2984
122,863
123,2181
124,614
125,3089
126,511
127,3149
128,853
129,1125
130,3167
131,2097
132,3187
133,2011
134,1136
135,3202
136,559
137,1553
138,3261
139,1849
140,1252
141,3116
142,3278
143,1225
144,48
145,2471
146,435
147,350
148,1655
149,3328
150,625
151,1047
152,1165
153,872
154,881
155,652
156,645
157,528
158,3437
159,3447
160,3455
161,3477
162,664
163,846
164,246
165,3025
166,3551
167,3548
168,3078
169,1859
170,74
171,2567
172,162
173,660
174,356
175,3681
176,3020
177,1743
178,2008
179,925
180,933
181,2132
182,1088
183,3803
184,3537
185,985
186,3674
187,3831
188,3836
189,1944
190,2067
191,4030
192,1954
193,1644
194,3752
195,58
196,73
197,3615
198,3743
199,2134
200,83
201,4183
202,730
203,2129
204,4198
205,2081
206,4197
207,1666
208,4267
209,1325
210,3532
211,264
212,282
213,4306
214,314
215,1043
216,4321
217,266
218,851
219,4344
220,1562
221,174
222,661
223,4406
224,3736
225,4430
226,3130
227,4486
228,1554
229,986
230,4219
231,4520
232,2214
233,619
234,1925
235,602
236,385
237,1032
238,988
239,3874
240,848
241,484
242,70
243,1401
244,57
